time_period,SE,disease_cases,location
2010/1/3,201001,30,loc1
2010/1/10,201002,44,loc1
2010/1/17,201003,46,loc1
2010/1/24,201004,47,loc1
2010/1/31,201005,68,loc1
2010/2/7,201006,56,loc1
2010/2/14,201007,66,loc1
2010/2/21,201008,74,loc1
2010/2/28,201009,95,loc1
2010/3/7,201010,74,loc1
2010/3/14,201011,66,loc1
2010/3/21,201012,101,loc1
2010/3/28,201013,84,loc1
2010/4/4,201014,78,loc1
2010/4/11,201015,82,loc1
2010/4/18,201016,92,loc1
2010/4/25,201017,121,loc1
2010/5/2,201018,137,loc1
2010/5/9,201019,115,loc1
2010/5/16,201020,124,loc1
2010/5/23,201021,103,loc1
2010/5/30,201022,86,loc1
2010/6/6,201023,55,loc1
2010/6/13,201024,95,loc1
2010/6/20,201025,79,loc1
2010/6/27,201026,86,loc1
2010/7/4,201027,100,loc1
2010/7/11,201028,98,loc1
2010/7/18,201029,90,loc1
2010/7/25,201030,122,loc1
2010/8/1,201031,129,loc1
2010/8/8,201032,107,loc1
2010/8/15,201033,77,loc1
2010/8/22,201034,90,loc1
2010/8/29,201035,52,loc1
2010/9/5,201036,61,loc1
2010/9/12,201037,76,loc1
2010/9/19,201038,83,loc1
2010/9/26,201039,56,loc1
2010/10/3,201040,34,loc1
2010/10/10,201041,41,loc1
2010/10/17,201042,46,loc1
2010/10/24,201043,59,loc1
2010/10/31,201044,76,loc1
2010/11/7,201045,83,loc1
2010/11/14,201046,93,loc1
2010/11/21,201047,123,loc1
2010/11/28,201048,147,loc1
2010/12/5,201049,186,loc1
2010/12/12,201050,234,loc1
2010/12/19,201051,201,loc1
2010/12/26,201052,149,loc1
2011/1/2,201101,310,loc1
2011/1/9,201102,385,loc1
2011/1/16,201103,380,loc1
2011/1/23,201104,624,loc1
2011/1/30,201105,1012,loc1
2011/2/6,201106,1639,loc1
2011/2/13,201107,1983,loc1
2011/2/20,201108,2056,loc1
2011/2/27,201109,1898,loc1
2011/3/6,201110,1984,loc1
2011/3/13,201111,3473,loc1
2011/3/20,201112,5472,loc1
2011/3/27,201113,6115,loc1
2011/4/3,201114,7389,loc1
2011/4/10,201115,6204,loc1
2011/4/17,201116,5196,loc1
2011/4/24,201117,5820,loc1
2011/5/1,201118,4805,loc1
2011/5/8,201119,4445,loc1
2011/5/15,201120,3432,loc1
2011/5/22,201121,2631,loc1
2011/5/29,201122,2126,loc1
2011/6/5,201123,1345,loc1
2011/6/12,201124,1024,loc1
2011/6/19,201125,633,loc1
2011/6/26,201126,547,loc1
2011/7/3,201127,341,loc1
2011/7/10,201128,299,loc1
2011/7/17,201129,219,loc1
2011/7/24,201130,293,loc1
2011/7/31,201131,194,loc1
2011/8/7,201132,204,loc1
2011/8/14,201133,206,loc1
2011/8/21,201134,154,loc1
2011/8/28,201135,145,loc1
2011/9/4,201136,165,loc1
2011/9/11,201137,156,loc1
2011/9/18,201138,208,loc1
2011/9/25,201139,240,loc1
2011/10/2,201140,232,loc1
2011/10/9,201141,257,loc1
2011/10/16,201142,252,loc1
2011/10/23,201143,322,loc1
2011/10/30,201144,321,loc1
2011/11/6,201145,406,loc1
2011/11/13,201146,369,loc1
2011/11/20,201147,599,loc1
2011/11/27,201148,622,loc1
2011/12/4,201149,816,loc1
2011/12/11,201150,944,loc1
2011/12/18,201151,869,loc1
2011/12/25,201152,1440,loc1
2012/1/1,201201,1358,loc1
2012/1/8,201202,1383,loc1
2012/1/15,201203,1741,loc1
2012/1/22,201204,2012,loc1
2012/1/29,201205,2164,loc1
2012/2/5,201206,2750,loc1
2012/2/12,201207,3237,loc1
